App name,Repository Link
ConnectBot,https://github.com/connectbot/connectbot/
K-9 Mail,https://github.com/k9mail/k-9
Sipdroid,https://github.com/i-p-tel/sipdroid
WordPress,https://github.com/wordpress-mobile/WordPress-Android
APG,https://github.com/thialfihar/apg
Conversations,https://github.com/siacs/Conversations
I2P,https://github.com/i2p
OpenKeychain,https://github.com/open-keychain/open-keychain
Signal,https://github.com/WhisperSystems/Signal-Android
Surespot,https://github.com/surespot/android
Telegram,https://github.com/DrKLO/Telegram
Wire,https://github.com/wireapp/wire-android
Brave,https://github.com/brave/browser-android-tabs
JumpGo,https://github.com/JTechMe/JumpGo
Lightning Browser,https://github.com/anthonycr/Lightning-Browser
Orfox / Tor Browser,https://github.com/guardianproject/orfox
Mupen64Plus,https://github.com/mupen64plus-ae/mupen64plus-ae
openMSX,https://github.com/openMSX/openMSX
PPSSPP,https://github.com/hrydgard/ppsspp
2048,https://github.com/uberspot/2048-android
Dungeon Crawl Stone Soup,https://github.com/crawl/crawl
Freeciv,https://github.com/zielmicha/freeciv-android
GLtron,https://github.com/Chluverman/android-gltron
OpenArena,https://github.com/pelya/openarena-engine
OpenTTD,https://github.com/pelya/commandergenius/tree/sdl_android/project/jni/application/openttd
OpenTyrian,https://github.com/pelya/commandergenius/tree/sdl_android/project/jni/application/opentyrian
Simon Tatham's Puzzles,https://github.com/chrisboyle/sgtpuzzles
BOINC,https://github.com/BOINC/boinc
Dasher,https://github.com/acl33/AndroidDasher
Galaxy Zoo,https://github.com/murraycu/android-galaxyzoo
Google IO,https://github.com/google/iosched
ownCloud,https://github.com/owncloud/android
PressureNET,https://github.com/Cbsoftware/pressureNET
SageMath,https://github.com/sagemath/android
Sugar environment,https://github.com/llaske/sugarizer
The White House,https://github.com/whitehouse/wh-app-android
Avare,https://github.com/apps4av/avare
MAPS.ME,https://github.com/mapsme/omim
Mozzila Stumbler,https://github.com/mozilla/MozStumbler
OsmAnd,https://github.com/osmandapp/Osmand
DuckDuckGo,https://github.com/duckduckgo/android
FanFiction Reader,https://github.com/genious7/FanFictionReader
FBReader,https://github.com/geometer/FBReaderJ
iFixit,https://github.com/iFixit/iFixitAndroid
Wiktionary,https://github.com/wikimedia/WiktionaryMobile
XOWA,https://github.com/gnosygnu/xowa
Barcode Scanner,https://github.com/zxing/zxing
AntennaPod,https://www.github.com/antennapod/AntennaPod
Kodi,https://github.com/xbmc/xbmc/
Ringdroid,https://github.com/google/ringdroid
Tribler,https://github.com/Tribler/tribler
KeePassDroid,https://github.com/bpellin/keepassdroid
Prey,https://github.com/prey
